sample_id	input	filtered	merged	nonchimeric
120003-1020	513574	368415	322720	222456
120008-1030	324118	252371	222591	173056
120010-1020	294767	198562	189717	126994
120010-1030	243499	176781	165634	121188
120013-1020	143986	90627	82243	67452
120014-1020	286044	193912	179988	114523
120015-1020	309213	223787	184948	136406
120016-1020	301732	213473	201438	119537
120017-1020	681855	506815	456504	331815
120019-1020	56431	19512	13682	10900
120020-1020	186615	130103	123725	112886
120022-1020	187664	128280	113898	95244
120023-1020	226528	147702	135670	105986
120024-1020	84297	52328	46487	34760
120026-1020	100700	75542	71472	61055
120028-1020	72865	53233	51009	48324
120030-1020	182075	138697	133488	121041
120031-1020	230868	162781	146835	105417
120032-1020	216661	160756	147217	120113
120036-1020	223455	160036	152535	95540
120037-1020	219639	122425	110410	80491
120039-1020	211268	143184	118189	101427
120041-1020	183425	108880	100835	67969
120043-1020	362750	250708	216755	157517
120044-1020	538627	369253	332206	211734
120045-1020	376197	275509	236415	184938
120046-1020	362067	260500	244090	150958
120047-1020	390615	284819	246229	139943
120049-1020	85731	54940	51026	44790
120050-1020	319482	138151	120407	98655
120051-1020	272182	194545	177938	122040
120052-1020	232075	38731	32056	29858
120057-1020	443684	337139	286075	219054
120058-1020	121801	91418	83535	75893
120060-1020	108062	83019	77721	55428
120061-1020	81975	43087	40688	21142
120062-1020	100495	71757	65652	42955
120066-1020	164744	113096	107799	77226
120067-1020	165923	120067	109808	71042
120068-1020	314388	201977	176024	131608
120070-1020	218156	163997	145732	99698
120074-1020	259890	182962	153506	114964
120075-1020	154449	90414	72966	63163
120077-1020	406518	317002	296360	219439
120078-1020	366331	239107	214143	166569
120079-1020	184396	142991	134359	101465
120080-1020	338975	244974	222980	143775
120081-1020	359641	268065	240416	169825
120082-1020	687105	509074	445282	272950
120083-1020	200477	138699	120625	99070
120089-1020	621679	462708	420890	310712
120090-1020	106991	64367	57760	47895
120093-1020	847726	628723	543373	337842
120096-1020	487282	315871	288537	179416
120098-1020	48400	5292	3906	3866
120099-1020	1302408	924104	843445	626077
120102-1020	146889	96733	83621	55809
120109-1020	95122	66212	58265	41696
120111-1020	85549	61569	57857	51113
120117-1020	37256	19879	16494	8706
120120-1020	256171	185831	173427	134913
120125-1020	228990	163659	151283	119683
120142-1020	196489	133614	108360	78126
120144-1020	267076	189305	161284	122324
120160-1020	53625	38812	38159	27991
120168-1020	20753	15062	14773	13234
120170-1020	47633	39043	29043	24847
120175-1020	39580	29183	27726	23888
120181-1020	252646	190489	155221	126144
120184-1020	113048	86464	81442	78367
120187-1020	152776	117262	113444	103390
120193-1020	199009	139669	121686	104600
120194-1020	87781	58169	54474	49208
120204-1020	141400	112024	102232	82542
120207-1020	238501	178330	163997	108626
120221-1020	37463	25203	23949	16992
120227-1020	241940	179981	163602	93732
120229-1020	180637	139832	134935	121032
120265-1020	288137	202188	160925	133581
120034-1030	70046	30974	30691	27598
120038-1030	97430	45274	43532	40179
120039-1030	623	169	0	0
120041-1030	66508	26685	26641	26304
120044-1030	58798	24577	23233	12075
120048-1030	58118	25009	23986	19623
120067-1030	63025	18646	18428	10993
120072-1030	78229	40115	39892	37260
120076-1030	38772	18028	17998	16979
120097-1030	44426	10577	10039	10039
120098-1030	75985	36407	32377	31799
120099-1030	59731	21066	19226	19083
120102-1030	245356	117219	98926	86656
120109-1030	521203	245696	220662	162104
120111-1030	254309	93687	83851	63498
120117-1030	142381	69081	66833	58438
120125-1030	68928	31821	30608	25980
120132-1030	149823	76008	73801	59635
120142-1030	106955	50225	41193	23887
120144-1030	147105	64740	57459	51711
120168-1030	216876	111015	103821	83353
120170-1030	65584	28984	27902	27633
120175-1030	148190	75152	70570	61894
120184-1030	214398	115373	113530	101858
120187-1030	74909	36438	36043	34257
120195-1000	121773	44661	42702	34154
120197-1000	127983	72926	70636	55908
120198-1000	462271	219632	201871	136210
120199-1000	161991	67414	51810	36682
120200-1000	164926	82776	76094	68666
120203-1000	107903	51318	48097	39636
120204-1000	155944	74013	64732	52777
120204-1030	53860	21135	15981	15895
120205-1000	46685	20816	19509	16746
120206-1000	73317	27792	20686	18680
120207-1000	229230	101829	90496	74156
120207-1030	100438	22155	21022	16763
120210-1000	98318	42902	41744	39671
120211-1000	106377	45720	42553	39343
120212-1000	88322	43756	37308	35413
120213-1000	64370	30795	30707	20505
120214-1000	148571	61628	56166	47856
120215-1000	1119536	500251	456516	288691
120216-1000	202110	105592	105108	98534
120219-1000	88560	25716	22041	13941
120221-1000	89849	46058	45596	42552
120223-1000	124322	57730	54256	42534
120223-1030	93781	28392	25269	24878
120224-1000	51167	21828	19665	17026
120225-1000	44188	16180	15440	7723
120226-1000	148405	70533	70382	63553
120227-1030	101681	37767	32343	30920
120229-1000	64273	15302	13810	13147
120229-1030	167348	69674	69395	60107
120230-1000	150345	72794	72613	62213
120232-1000	104654	49165	43711	24499
120233-1000	210114	83968	79486	65839
120265-1030	162735	67417	59726	51682
120234	277164	219258	214917	111614
120235	591419	496869	489225	399536
120236	1274302	946109	889291	572892
120241	487478	409507	403332	333300
120242	431043	350159	329633	251123
120243	737651	603398	518548	310555
120244	475658	407068	388108	154430
120245	302380	227500	207289	167723
120246	318343	255473	253173	215525
120248	828141	653620	640616	537945
120250	400841	316999	295421	244912
120252	1027142	848527	786059	515687
120254	1468251	1134959	1073586	550363
120255	4097072	3294581	3119801	1401527
120256	1167553	841296	797600	471391
120258	452953	361647	355213	293450
120259	175932	138859	132266	103394
120260	1760808	1407086	1344697	815461
120261	1854419	1477888	1402248	749978
120262	611110	500218	458720	288903
120263	1256235	1094117	1079295	574859
120001	63051	18011	17972	16534
120002	56203	11029	10706	8774
120003	70447	16159	14548	12899
120004	51991	10266	10107	9634
120005	70322	17300	16683	15644
120006	146742	30357	29878	23994
120007	69066	16073	14908	13034
120008	57577	10347	9800	9294
120009	68512	20159	19835	19546
120010	68875	18411	17256	15099
120011	59246	17413	16463	15558
120012	123045	21278	20705	19062
120013	148177	39060	38537	36781
120014	91972	21071	20854	19950
120015	90372	21507	20784	19752
120016	57959	13329	12493	10762
120017	73973	11712	11000	10421
120018	66908	9982	9841	7165
120019	65442	16164	15722	15301
120020	48822	4987	4808	4481
120021	64361	7533	6976	6462
120022	86484	7046	6603	5861
120023	84426	7500	6799	5956
120024	111822	13196	12831	12080
120025	68343	25497	25482	25482
120027	56440	23506	23107	18842
120028	37332	11271	11197	11153
120030	55461	9998	9452	8256
120031	54537	14413	13693	12012
120032	34557	1604	1494	1494
120033	82962	32669	32367	27157
120035	54328	22399	21884	21766
120036	64689	18080	17618	16236
120037	34237	7879	7284	6449
120038	147603	41636	40020	35555
120040	218327	51247	51066	49330
120042	48790	13048	12916	10124
120043	72222	17132	16094	14671
120045	39008	11969	11331	9814
120046	39659	8875	8359	7699
120047	50536	15357	14507	13487
120048	47814	15414	15166	14504
120049	34595	11403	11039	9977
120050	136776	35308	33741	29766
120051	146671	42565	41281	36600
120052	89256	20417	19344	16727
120053	59745	24176	24011	23514
120054	60567	19261	19046	16811
120055	61823	23499	23196	23055
120057	288974	67690	63580	49990
120058	98557	33053	32885	31237
120059	53044	11500	11244	11244
120060	56620	12497	12333	12179
120062	74786	9863	8899	7897
120063	98009	21833	21766	20103
120064	68970	14876	14519	14519
120065	38898	7920	7317	6924
120066	65346	13555	13165	11674
120067	63642	25032	24691	19470
120068	39472	14921	14663	13632
120069	57163	25416	25255	24859
120070	77120	18484	17779	16924
120071	103599	43097	42916	38143
120073	94306	36367	35289	32019
120075	48568	10487	9896	8710
120076	56352	20203	20144	17572
120077	56198	17916	17379	16936
120078	43450	7771	7266	6619
120079	69300	19715	19044	17890
120080	53497	12970	12542	9812
120081	59890	19745	19352	18920
120082	42262	10727	10496	9700
120083	372971	95474	93912	88310
120085	44350	16344	16250	16250
120087	114028	25714	24851	21840
120088	87508	23123	21754	19562
120089	499882	141125	137615	122164
120090	98956	29792	28853	26850
120091	108424	34603	33928	28253
120092	70886	23883	23735	21570
120093	91268	17889	17319	16678
120094	54110	7586	7510	7110
120096	277210	52183	50761	45006
120098	469629	191873	162664	114524
120003-1030	106920	82181	74777	41224
120013-1030	81956	62163	59260	36966
120015-1030	78721	59134	50413	27682
120016-1030	160315	121649	113977	87646
120017-1030	127756	96732	91321	47171
120019-1030	150618	129416	126652	67465
120020-1030	157511	117624	109494	60307
120022-1030	125280	103926	101761	97542
120023-1030	124901	97738	89180	69301
120024-1030	86174	68553	66352	48610
120026-1030	152601	131137	129434	127255
120028-1030	98827	71971	69432	47450
120030-1030	195254	164848	163385	161963
120031-1030	53831	40755	37182	23332
120032-1030	152479	129837	127467	126433
120034-1000	74606	60283	58653	41279
120035-1030	88010	73481	71038	68420
120036-1030	79006	60334	57040	38028
120037-1030	68523	54437	54034	43019
120043-1030	86537	64960	59099	41713
120044-1000	75914	58560	53961	32844
120045-1030	106720	81897	77597	49635
120047-1030	95801	68171	64768	41365
120049-1030	70404	55767	53932	36148
120052-1030	101683	73719	67735	36282
120056-1000	87433	67811	63751	51868
120057-1030	88401	66428	59437	32979
120058-1030	192994	157527	155581	105818
120060-1030	41895	35460	35057	28877
120061-1000	91697	71869	64237	52069
120062-1030	94051	76731	73076	53855
120066-1030	54413	47269	46828	24328
120068-1030	46525	38349	36199	33986
120070-1030	46645	33981	33339	26152
120072-1000	76484	65208	64705	56176
120074-1000	80069	58892	57686	52838
120074-1030	75309	55494	54650	41339
120075-1030	87131	48978	46174	45642
120078-1030	208	91	89	89
120079-1030	49773	42993	41637	27087
120080-1030	48385	38541	36820	19403
120081-1030	44149	38365	38004	24401
120082-1030	12314	10233	9816	8750
120083-1030	56944	41740	38235	27777
120084-1000	188266	156109	145616	118257
120086-1000	47037	40327	39628	35621
120089-1030	62530	45979	43890	30610
120090-1030	71855	51470	49031	39429
120093-1030	104650	81918	74947	46553
120095-1000	96792	83241	80457	57611
120096-1030	50586	37768	35301	24455
120097-1000	78683	62533	58266	29693
120104-1000	97926	81307	75507	58775
120113-1000	73220	54694	50548	38456
120120-1000	131854	100144	96001	59445
120130-1000	45248	36642	35972	29327
120132-1000	55810	44207	42787	30288
120149-1000	46622	37507	36841	28345
120150-1000	45702	34145	31711	18290
120151-1000	50930	43969	42968	16771
120152-1000	54775	42960	39762	28289
120153-1000	73919	63905	63371	63060
120174-1000	106817	92716	91046	79024
120176-1000	208394	181540	179263	71036
120177-1000	56541	42277	40497	30708
120178-1000	59193	45015	40174	28515
120196-1000	61759	52837	51256	50898
120209-1000	133841	112800	105321	88729
120218-1000	81347	61409	58278	39938
120221-1030	126743	107941	107195	105630
120222-1000	80071	64491	60527	35065
120223-1020	41658	31026	28830	17066
120227-1000	76014	54743	45965	24986
120231-1000	56874	41228	40372	30258
120240-1000	53483	36978	34804	24635
120257-1000	78547	58750	56480	51719
120099	202276	58908	51987	44919
120100	406988	151064	141094	83943
120101	496847	208723	175731	133608
120102	327559	118709	110344	79479
120103	283985	125913	115794	103744
120105	237061	105347	95076	52439
120106	195462	80384	74388	51099
120107	155337	47161	42789	33962
120108	315462	119803	107776	85640
120109	351664	149484	121032	92488
120110	308515	118301	104700	78629
120111	208238	85406	72515	61551
120112	721300	262814	228167	178751
120114	276178	111685	100692	70297
120115	323502	96356	80203	54345
120116	752099	273863	255082	189845
