sampleID,g_Lactobacillus,g_Gardnerella,g_Atopobium,g_Prevotella,g_Shuttleworthia,g_Sneathia,g_Peptostreptococcus,g_Peptoniphilus,g_Aerococcus,g_Megasphaera,g_Dialister,g_Streptococcus,g_Gemella,g_Fastidiosipila,g_Anaerococcus,g_Parvimonas,g_Mobiluncus,d_NA,d_Bacteria,g_Veillonella,g_Mycoplasma,g_DNF00809,p_Proteobacteria,g_Sutterella,f_Pasteurellaceae,o_Saccharimonadales,g_Finegoldia,g_Basfia,g_Porphyromonas,g_Staphylococcus,d_Eukaryota,g_Haemophilus,g_Catonella,g_Bifidobacterium,g_Mageibacillus,g_Actinomyces,g_Arcanobacterium,g_Fenollaria,g_Fusobacterium,g_Escherichia/Shigella,g_Streptobacillus,f_Muribaculaceae,g_Enterococcus,g_Moryella,g_Peptococcus,f_Prevotellaceae,g_Ureaplasma,g_Neisseria,p_Actinobacteriota,o_Peptostreptococcales-Tissierellales,g_Roseburia,g_Howardella,g_Granulicatella,o_Lactobacillales,g_Trichomonas,g_Ezakiella,p_Firmicutes,f_Mitochondria,g_Bradyrhizobium,g_Corynebacterium,f_Veillonellaceae,c_Actinobacteria,c_Bacteroidia,g_Murdochiella,f_Rikenellaceae,f_Aerococcaceae,g_Bulleidia,g_Trichococcus,g_Lawsonella,g_Lachnospiraceae_FE2018_group,g_Slackia,f_Atopobiaceae,g_Cutibacterium,f_Porphyromonadaceae,g_Campylobacter,g_Coriobacteriaceae_UCG-002,g_Chlamydia,g_Rikenellaceae_RC9_gut_group,g_Solobacterium,c_Bacilli,g_Sphingomonas,g_Alloprevotella,g_Novosphingobium,g_S5-A14a,p_Bacteroidota,f_Spirochaetaceae,g_Microbacterium,o_Veillonellales-Selenomonadales,g_Chryseobacterium,g_Brevundimonas,f_Erysipelotrichaceae,g_Bacteroides,g_Anaeroglobus,f_Lachnospiraceae,f_Enterobacteriaceae,g_Varibaculum,g_Family_XIII_UCG-001,g_Faecalibacterium,g_Methylobacterium-Methylorubrum,g_Afipia,g_Necropsobacter,f_Bifidobacteriaceae,g_Stenotrophomonas,g_Pseudocitrobacter,g_W5053,g_Halomonas,f_Hungateiclostridiaceae,g_Sarcina,o_Micrococcales,g_Olsenella,g_Gallicola,g_Pseudomonas,g_Massilia,c_Clostridia,g_Mannheimia,o_Chloroplast,f_Neisseriaceae,f_Fusobacteriaceae,g_Streptomyces,f_Staphylococcaceae,c_Euglenida,p_Retaria,g_Reyranella,g_Kocuria,g_Acinetobacter,c_Alphaproteobacteria,g_Asinibacterium,g_Prevotellaceae_YAB2003_group,o_Bacteroidales,g_Planomicrobium,g_Isobaculum,f_Xanthobacteraceae,g_Cnuella,g_Succinivibrio,g_Propionimicrobium,g_Oceanivirga,f_Carnobacteriaceae,g_Bryobacter,c_Mammalia,g_Paeniclostridium,f_Beijerinckiaceae,g_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,c_Coriobacteriia,c_Gammaproteobacteria,g_Nitrobacter,g_Bergeyella,g_Sulfurospirillum,g_Delftia,g_Pluralibacter,g_Erysipelotrichaceae_UCG-003,g_Anaerostipes,g_Lachnospiraceae_NK3A20_group,f_Rhizobiaceae,g_Clostridium_sensu_stricto,g_Gaiella,g_Agathobacter,f_Streptococcaceae,g_Peptoanaerobacter,g_Pedobacter,g_28-4,g_Lysinibacillus,g_Friedmanniella,g_Bosea,g_Blautia,f_Anaerovoracaceae,o_Coriobacteriales,g_Pseudoglutamicibacter,g_Floricoccus,f_Micrococcaceae,g_Anaerosphaera,g_Paracoccus,f_Bacillaceae,g_Hephaestia,f_Caulobacteraceae,f_Leptotrichiaceae,g_Devosia,g_Saccharibacillus,g_Treponema,f_Selenomonadaceae,f_Mycoplasmataceae,g_Dorea,g_UCG-005,g_Hymenobacter,g_Blvii28_wastewater-sludge_group,g_Succiniclasticum,g_Psychrobacillus,g_Ottowia,g_Stomatobaculum,g_Heliimonas,g_Oligella,f_Opitutaceae,f_Ruminococcaceae,g_Lachnospiraceae_UCG-003,g_Brevibacterium,o_Rhizobiales,g_Piscinibacter,g_Eisenbergiella,g_Nosocomiicoccus,g_Tersicoccus,g_Facklamia,g_Atopostipes,g_Enhydrobacter,g_Atlantibacter,o_Enterobacterales,f_Obscuribacteraceae,g_Chromohalobacter,g_Millisia,g_Pantoea,g_Alloiococcus,o_Bacillales,f_Oscillospiraceae,g_Holdemanella,g_Rhodococcus,g_Parabacteroides,f_Planococcaceae,f_Peptostreptococcaceae,g_Oligotropha,g_Weeksella,g_S50_wastewater-sludge_group,o_Corynebacteriales,f_Peptostreptococcales-Tissierellales_fa,f_Sphingomonadaceae,f_Eggerthellaceae,g_Fournierella,g_Pseudoscardovia,f_JG30-KF-CM45,f_Actinomycetaceae,f_Corynebacteriaceae,g_Lactonifactor,f_UCG-010,g_Deinococcus,o_Burkholderiales,g_Desemzia,f_p-251-o5,o_Campylobacterales,f_Chitinophagaceae,f_Pseudomonadaceae,g_Serratia,g_GTL1,o_Oscillospirales,f_Oxalobacteraceae,g_Parvibacter,g_Neo-b11
120003-1020,84,49,11718,51641,0,0,14623,16726,4621,0,28689,211,0,0,4045,0,23715,36,0,1964,14556,496,0,0,0,0,1610,0,16978,0,0,16040,0,0,0,360,0,1571,651,0,0,10042,0,0,0,0,79,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120008-1030,108160,33150,1283,506,106,0,0,0,12634,0,1563,0,8178,0,2333,0,0,0,0,886,15,0,0,0,0,0,4144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120010-1020,478,0,158,1435,1697,103,209,178,128,84,449,118967,82,38,172,0,643,0,0,0,196,0,0,0,0,0,187,0,379,390,10,297,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120010-1030,46435,478,92,132,0,22659,0,0,951,0,0,40445,3928,64,0,39,0,0,0,189,0,0,0,0,0,0,0,0,0,1545,100,0,0,0,0,0,0,0,0,0,0,0,4131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120013-1020,2388,21413,9043,792,28147,681,0,27,0,0,565,64,2520,0,0,0,278,0,0,0,609,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120014-1020,28168,26569,24382,516,706,20315,0,0,2744,0,811,3640,2707,0,80,0,81,0,0,0,0,0,0,0,0,0,0,0,57,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,135,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,197,0,0,0,0,0,0,0,0,80,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120015-1020,5149,49325,11652,7801,20002,1079,124,2730,2263,11042,1375,139,0,1217,73,4640,440,0,0,0,726,680,0,0,0,41,0,0,0,0,0,0,0,14333,91,0,0,0,199,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,87,0,0,0,195,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120016-1020,26477,58796,269,24112,289,0,317,122,0,0,6063,1959,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120017-1020,10504,72777,14545,19369,155609,14422,0,147,1484,3684,4983,313,1556,2632,1636,20999,201,0,0,0,124,2665,0,0,0,342,123,0,0,0,0,0,0,0,2050,0,83,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,409,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120019-1020,8106,248,82,267,451,0,0,0,0,0,149,0,0,0,60,0,248,0,0,0,19,0,0,0,0,0,27,0,84,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
